title,press,date,summary,url
"대한적십자사 광주전남지사, 함평군새마을회에 차량 후원",데일리한국,2025-04-07,"사진=함평군 제공 대한적십자사 광주전남지사와 ㈜영무건설이 사단법인 함평군새마을회 활동을 독려하며 차량을 지원해 눈길을 끌고 있다. 함평군은 ""대한적십자사 광주전남지사(회장 박재홍)가 지난 4일 오전 (사)함평군새마을회(회장 김창문)에게 업무지원 차량을 후원했다""고 7일 밝혔다. 후원식에는 이상익...",https://daily.hankooki.com/news/articleView.html?idxno=1200692
"현대차 미국법인 ""두 달간 車가격 동결""…25% 관세 소비자 불안 해소",뉴스1,2025-04-06,"현대자동차(005380) 미국법인이 앞으로 두 달간 모든 차종의 가격을 인상하지 않겠다고 발표했다. 미국의 외국산 자동차 25% 관세 적용에 따른 소비자... 훌륭한 차량을 제공하고 수십만개 일자리를 지원하고 회사에 가장 중요한 시장인 미국에 수십억 달러를 투자하려는 다각적인 노력의 일부일 뿐""이라고...",https://www.news1.kr/industry/general-industry/5743792
관세 발효 앞두고 차량 구매 서두르는 美 소비자…3월 판매량 급증,블로터언론사 선정,2025-04-02,다만 포드는 1분기 법인용 차량과 렌터카 등을 제외한 소매 판매는 전년 대비 5% 증가했고 3월 소매판매도 19% 급증했다고 밝혔다. CNBC는 현대자동차와 혼다자동차의 1분기 미국 내 판매가 각각 약 10%와 5.3% 각각 증가한 점을 고려했을 때 포드의 감소세는 예외적인 흐름이라고 전했다. 이번 자료는 트럼프 미국...,https://www.bloter.net/news/articleView.html?idxno=634274
경찰 '기업 법인카드 사용' 임미란 광주시의원 불구속 송치,뉴시스언론사 선정,2025-04-03,"앞서 경찰은 지난해 접수된 고발장을 토대로 임 의원의 의회 내 의원 사무실과 주거지, 차량 등지에 대해 압수수색한 바 있다. 임 의원은 ""법인 대표 부부가 개인적 친분이 있던 저에게 '토지 구매에 돈이 필요하다'고 부탁해와 법인 통장으로 5000만원을 송금했고, 카드는 채무 변제용으로 받아 사용했던 것...",https://www.newsis.com/view/NISX20250402_0003123757
"현대로템, LA 메트로 철도차량 조립 파트너 선정",더구루,2025-04-08,긴키차량 美 법인과 계약…현지 공장서 조립·시운전 '바이 아메리카' 규정 이행 현대로템이 일본 대표 철도차량 제조사인 긴키차량(近畿車輛)과 미국 로스앤젤레스(LA) 전동차 사업에 손잡았다. 긴키차량의 미국 공장에서 전동차 조립과 테스트를 추진하고 미국의 현지화 규정을 준수한다. 7일...,https://www.theguru.co.kr/news/article.html?no=85536
교육청이 지적한 한민고 비리 백태‥학교 차량 사적 사용에 횡령까지,MBC언론사 선정,2025-04-04,"교장이 학생들을 위한 응급이송용 차량을 자가용처럼 타고 다니고, 직원이 공금 횡령한 사실도 적발됐는데요. 사학비리의 전형적인 행태를, 국방부가... 교육청이 이 씨를 횡령 혐의로 경찰에 고발했지만, 학교 측은 아무런 징계 없이 이 씨를 학교법인 소속 사업체로 옮겨줬습니다. [이 모 씨/한민고 학교법인...",https://imnews.imbc.com/replay/2025/nwdesk/article/6702859_36799.html
"기아 ""PBV, 법인 외에 일반 고객도 공략""",머니S,2025-04-05,"""PV5는 일반 고객과 법인 고객 모두 공략하게 될 것이다."" 기아 관계자가 4일 경기도 일산 킨텍스에서 열린 '2025 서울모빌리티쇼' 에서 PV5에 관해 묻는... 2025 서울모빌리티쇼를 방문한 소감에 대해서는 ""저희도 PV5를 이번에 공개했지만 현대차 넥쏘 등과 같이 차세대 차량에 대한 방향성이 많이 소개되고...",https://www.moneys.co.kr/article/2025040411353568378
"전시 차량만 41대...현대차그룹, 서울모빌리티쇼 청사진 공개",파이낸셜뉴스,2025-04-03,"현대자동차그룹이 3~13일 일산 킨텍스에서 열리는 서울모빌리티쇼에 41대 차량을 전시, 기술력을 선보인다. 2년 전 33대 대비 24.2% 늘어난 수치다. 특히... 2014년부터 2020년까지 포뮬러원(F1) 르노 팀에서 감독을 맡았던 시릴 아비테불도 현대모터스포츠 법인장 자격으로 서울 모빌리티쇼에 처음 참가한다....",http://www.fnnews.com/news/202504021312405531
[2024년 귀속 법인세 분석] 현대자동차 최대 실적 힘입어 지난해 법인세비용 3조 돌파,조세일보언론사 선정,2025-04-05,"현대자동차가 지난해 최대 실적을 경신하며 계상한 법인세비용도 3조원을 넘긴 것으로 나타났다. 꾸준한 매출 증대와 함께 수익성 개선이... 하이브리드차량(HEV)의 판매를 확대하고 고수익 차종 판매 강화를 통해 역대 최대 실적을 달성했다""고 밝혔다. 한편 최근 발표된 미국의 비상식적인...",http://www.joseilbo.com/news/news_read.php?uid=540385&class=7&grp=
"페라리, 미국 25% 관세 대응…美 수출 차량 가격 최대 10% 인상",연합뉴스언론사 선정,2025-04-08,"이 회사는 ""이자·법인세 차감 전 영업이익(EBIT)과 상각 전 영업이익(EBITDA) 마진은 0.5%포인트 감소의 잠재적 위험이 있다""고 밝혔다. 글로벌 고급 스포츠카의 대명사로 불리는 페라리는 이탈리아 북부의 마라넬로 공장에서 모든 차량을 생산하고 있다. 도널드 트럼프 미국 대통령은 다음 달 3일부터 모든...",https://www.yna.co.kr/view/AKR20250328001900109?input=1195m
"대한적십자사 광주전남지사, (사)함평군새마을회에 차량 후원",시민일보,2025-04-07,"▲ 대한적십자사 광주전남지사, (사)함평군새마을회에 차량 후원 (출처=함평군) 대한적십자사 광주전남지사와 ㈜영무건설이 사단법인 함평군새마을회 활동을 독려하며 차량을 지원해 눈길을 끌고 있다. 함평군은 6일 “대한적십자사 광주전남지사(지사장 박재홍)가 지난 4일 오전 (사)함평군새마을회(회장...",https://www.siminilbo.co.kr/news/newsview.php?ncode=1160285411565462
"'벤츠 대리주차 사고' 경비원 측 ""차량 소프트웨어 결함…배상해야""",뉴스1언론사 선정,2025-04-08,"A 씨 측은 이날 ""ECU(Electronic Control Unit·전자제어유닛) 소프트웨어에 결함이 있다""며 벤츠 본사와 한국 법인에 손해배상 책임이, 또 한국 법인과 한성자동차에 차량 구매 대금 환불 의무가 있다고 주장했다. 이에 대해 벤츠 등은 ""급발진 주장이 입증된 적이 없고 오조작으로 인한 사고로 밝혀졌을 뿐...",https://www.news1.kr/society/court-prosecution/5730393
"현대차, 美 관세에도 두 달간 차량 가격 동결…""소비자 안심 프로그램 가동""",이코노미사이언스,2025-04-07,"| 이코노미사이언스 정상훈 기자 | 현대자동차가 미국 시장에서 수입차 관세 인상에도 불구하고 당분간 차량 가격을 올리지 않겠다고 밝혔다. 현대차 미국법인은 4일(현지시간) 보도자료를 통해 ""오는 6월 2일까지 약 두 달간 현재 판매 중인 전 차종의 권장소비자가격(MSRP)을 유지한다""며 ""가격 불안정에 대한...",https://www.e-science.co.kr/news/articleView.html?idxno=103914
사업과 무관한 슈퍼카 렌트하고 법인대표 소송비용까지 지출,세정신문,2025-04-04,이에따라 A법인이 차량을 렌트 후 세금계산서를 수취했어도 공제받지 못할 매입세액 명세서에 반영해 불공제 매입세액으로 신고해야 한다. ◆법인 대표의 개인 소송 비용을 매입세액 공제 신청 건설업을 영위하는 B 법인은 법무법인에 소송 관련 대가를 지급하고 세금계산서를 수취해 매입세액 공제 대상으로...,https://www.taxtimes.co.kr/news/article.html?no=269141
"현대차 美법인, 딜러들에게 ""가격 변동될지도""…'트럼프 스톰' 임박",이데일리,2025-04-01,3월 31일(현지시간) 로이터통신 보도에 따르면 랜디 파커 현대차 북미권역본부장 겸 미국법인장은 최근 현지 딜러들에게 서신을 보내 “현재 차량 판매가격을 보장할 수 없으며 4월 2일 이후 도매 가격이 변경될 수 있다”고 전했다. 현대차 울산공장 수출선적부두(사진=현대차) 파커 법인장은 또 “관세는...,http://www.edaily.co.kr/news/newspath.asp?newsid=03129126642131856
"현대차 미국법인 ""두 달간 가격 동결…고객 안심 프로그램""",뉴스케이프,2025-04-07,"현대차 미국법인은 4일(현지시간) ""6월 2일까지 2개월간 현재 모델 라인업 차량의 권장소매가(MSRP, Manufacturer's Suggested Retail Price)를 인상하지 않을 것""이라고 발표했다. 지난 3일 트럼프 행정부의 관세 정책으로 수입자동차에 25%의 관세를 확정했다. 이번 현대차의 행보는 미국 시장의 관세 인상으로 인한...",http://www.newscape.co.kr/news/articleView.html?idxno=111169
'연두색 번호판' 기피 현상 감소…고급 수입차 판매 '꿈틀',뉴시스언론사 선정,2025-04-08,"벤틀리 역시 47.1% 증가한 25대를 기록했고, 롤스로이스는 전년과 비슷한 수준인 14대로 집계됐다. 업계 관계자는 ""연두색 번호판을 도입한 지 1년이 넘으며 기피 현상이 점점 줄어들고 있다""며 ""고급 법인차량 판매가 급감한 지난해보다 올해 판매량이 더 늘어날 것으로 예상된다""고 말했다．",https://www.newsis.com/view/NISX20250324_0003110599
"""차량 패러다임 전환"" 기아, 서울모빌리티쇼서 '미래 모빌리티' 비전 제시",파이낸셜포스트,2025-04-04,◆'PV5 Town' 조성해 고객 맞춤형 차량 활용에 대한 확장성 제시 기아는 이번 모빌리티쇼에서 고객의 비즈니스와 일상의 혁신을 가져올 PV5를 국내... 또 기아는 고객이 취향에 따라 각종 모듈화된 용품을 PV5 실내에 장착할 수 있게 돕는 플랫폼 '기아 애드기어(Kia AddGear)'와 EV를 구매하는 법인 고객에게...,https://www.financialpost.co.kr/news/articleView.html?idxno=223611
의료허가 취소된 청주병원 구급차량 '버젓이 불법영업',충청투데이,2025-04-03,"그러나 이 차량은 의료법인 설립허가와 의료기관 개설허가 모두 취소된 청주병원 소유 차량으로, 구급차로 운행하는 것 자체가 불법이다.해당 차량은 관련법에 따라 구급차 말소 신고를 해야 하나, 세금 체납 등으로 압류돼 있어 말소 처리가 어렵다.사정이 이런 데도 응급이송업체 면허도 없는 K 씨가 이 차량을...",https://www.cctoday.co.kr/news/articleView.html?idxno=2210109
"탑런토탈솔루션, 토비스와 341억원 규모 차량용 부품 공급 계약",지디넷코리아언론사 선정,2025-04-08,양산 제품은 탑런토탈솔루션 베트남 생산법인(TRVH)에서 전량 생산될 예정이다. TRVH는 대규모 양산 설비와 고도화된 품질 관리 체계를 기반으로 고해상도·고휘도·저전력·고내구성을 갖춘 차량용 백라이트를 공급할 계획이다. 고객사별 다양한 요구 조건에도 동일한 품질 기준을 일관되게 적용할 수 있는...,https://zdnet.co.kr/view/?no=20250328093405
