day4
차종별,2301,2302,2303,2304,2305,2306,2307,2308,2309,2310,2311,2312,2401,2402,2403,2404,2405,2406,2407,2408,2409,2410,2411,2412,2501,2502,2503
승용일반형 외산 800CC미만,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
승용일반형 외산 1000CC미만,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
승용일반형 외산 1500CC미만,2039,1990,1911,1839,1810,1768,1697,1654,1621,1578,1520,1456,1416,1390,1337,1316,1283,1254,1205,1169,1135,1102,1042,987,947,923,900
승용일반형 외산 2000CC미만,19301,19222,19122,18959,18812,18678,18519,18427,18312,18271,18265,18198,18035,17922,17744,18290,20166,22800,25306,28086,29911,31455,33375,35389,36584,38182,39607
승용일반형 외산 2500CC미만,1960,1927,1910,1868,1851,1829,1842,1870,1868,1850,1825,1800,1783,1753,1737,1719,1721,1729,1713,1724,1732,1712,1724,1719,1731,1737,1744
승용일반형 외산 3000CC미만,4102,4095,4087,4108,4106,4143,4146,4151,4164,4181,4202,4212,4166,4155,4117,4109,4106,4076,4013,4015,4013,3999,3995,3957,3921,3897,3845
승용일반형 외산 3500CC미만,164,159,156,152,145,143,138,138,137,134,134,127,122,119,117,116,113,108,100,96,95,93,92,89,87,87,87
승용일반형 외산 4000CC미만,618,621,611,605,601,594,589,587,587,586,587,594,592,586,591,581,575,574,569,561,557,555,553,545,540,536,532
승용일반형 외산 4500CC미만,60,62,63,66,65,65,64,66,67,69,70,72,71,72,72,71,71,71,71,71,72,73,71,72,74,74,73
승용일반형 외산 5000CC미만,30,30,29,29,29,28,28,28,28,28,27,26,26,26,26,25,23,21,20,20,19,18,16,16,15,15,15
승용일반형 외산 5000CC이상,90,88,87,85,89,85,82,80,80,80,78,77,77,78,77,74,71,71,68,67,66,64,62,61,60,60,58
승용일반형 외산 저속전기,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
승용일반형 외산 전기,9137,9134,8976,8932,8935,8900,8809,8707,8792,8772,8594,8296,8174,8124,8051,8098,8159,8135,7941,7790,7640,7628,7628,7613,7517,7444,7448
main
