자동차 모델,판매량,점유율,전월대비
Panamera,124,33.2%,142    18▼
Taycan,58,17.4%,73    8▼
911,35,16.6%,34    28▲
AMG GT,10,8.8%,118    85▼
M4,15,5.6%,31    10▼
718 Boxster,3,4.0%,21    6▼
718 Cayman,3,3.2%,20    8▼
Mustang,65,2.9%,26    15▼
GR SUPRA,39,2.4%,0    9▲
M3,1,2.1%,25    17▼
M5,4,1.6%,23    17▼
GR 86,2,1.1%,8    4▼
Z4,13,0.5%,11    9▼
F-Type,1,0.5%,0    2▲
